Domanda,Opzione A,Opzione B,Opzione C,Risposta corretta
"Il Datore di Lavoro, nel predisporre il piano di emergenza, deve prevedere una adeguata assistenza alle persone con esigenze speciali,","Si, indicando misure di supporto alle persone con ridotte capacità sensoriali o motorie, tra le quali adeguate modalità di diffusione dell'allarme, attraverso dispositivi sensoriali (luci, scritte luminose, dispositivi a vibrazione) e messaggi da altoparlanti (ad esempio con sistema EVAC).","No, non è necessario è sufficiente incaricare gli addetti antincendio che provvederanno in base alla loro formazione ed esperienza a gestire le persone con esigenze speciali ","No, è sufficiente comunicare durante la chiamata di soccorso ai Vigili del Fuoco l’eventuale presenza di persone con esigenze speciali","Si, indicando misure di supporto alle persone con ridotte capacità sensoriali o motorie, tra le quali adeguate modalità di diffusione dell'allarme, attraverso dispositivi sensoriali (luci, scritte luminose, dispositivi a vibrazione) e messaggi da altoparlanti (ad esempio con sistema EVAC)."
La maschera a filtro si può usare in ambiente con presenza di ossigeno non inferiore,al 6%,al 12%,al 17%,al 17%
Gli autorespiratori a ciclo aperto dispongono di bombole contenenti:,Ossigeno puro,Aria compressa,Aria ed ossigeno,Aria compressa
Per diminuire il pericolo d'incendio in un locale adibito allo stoccaggio di liquidi infiammabili si può,aumentare la temperatura del locale,dotare il locale di aperture di ventilazione naturale,aumentare la pressione dell'aria nel locale,dotare il locale di aperture di ventilazione naturale
Una bassa temperatura di infiammabilità indica che una sostanza,Emette fumi,Reagisce con altre sostanze,È più facilmente infiammabile in presenza di innesco,È più facilmente infiammabile in presenza di innesco
Immagazzinando combustibili che sviluppano vapori più pesanti dell'aria il pericolo è maggiore:,in locali sotterranei,in locali al piano terra,in locali sopraelevati,in locali sotterranei
In un ambiente con presenza di gas o vapori più pesanti dell'aria le aperture di ventilazione devono essere disposte,sul tetto,a filo pavimento,a filo soffitto,a filo pavimento
Nel caso di un dardo di fuoco originato da una fuga di gas da una tubazione o da una flangia si procede immediatamente,all'intercettazione della fuga di gas,allo spegnimento con acqua,allo spegnimento con schiuma,all'intercettazione della fuga di gas
La probabilità che possa verificarsi un incendio aumenta,con la quantità di materiali combustibili,con la presenza di sorgenti di innesco,con la quantità di liquidi infiammabili,con la presenza di sorgenti di innesco
Il flash over è,l'istante di innesco dell'incendio,l'istante di estinzione dell'incendio,l'istante di propagazione generalizzata dell'incendio,l'istante di propagazione generalizzata dell'incendio
Durante un incendio si possono avere difficoltà respiratorie a causa,della riduzione del tasso di azoto nell'aria,della riduzione del tasso di ossigeno nell'aria,della presenza di idrogeno nell'aria.,della riduzione del tasso di ossigeno nell'aria
In un compartimento di classe 120 di resistenza a fuoco una porta deve avere resistenza a fuoco pari a,la metà di quella della struttura attraversata,il doppio di quella della struttura attraversata,uguale a quella della struttura attraversata,uguale a quella della struttura attraversata
Le vie di esodo sono una misura di,Protezione attiva,Prevenzione  ,Protezione passiva,Protezione passiva
La lunghezza d'esodo deve essere valutata,sulla base della valutazione del rischio e del profilo di rischio vita,sulla base del carico di incendio,in base alla temperatura di accensione dei combustibili presenti,sulla base della valutazione del rischio e del profilo di rischio vita
Durante l'uso di un estintore è preferibile indirizzare l'agente estinguente:,sempre nello stesso punto,muovendo l'estintore a ventaglio,muovendo l'estintore dall'alto verso il basso,muovendo l'estintore a ventaglio
Un impianto automatico di estinzione assolve alla funzione di,spegnimento dell'incendio,inertizzazione preventiva dell'ambiente,segnalazione acustica dell'incendio,spegnimento dell'incendio
Per capacità termica di una sostanza si intende,la quantità di calore che occorre fornire al materiale per aumentarne la sua temperatura di un grado centigrado,la capacità del materiale di condurre calore,la capacità del materiale di resistere al calore,la quantità di calore che occorre fornire al materiale per aumentarne la sua temperatura di un grado centigrado
Dire che una sostanza ha un'alta capacità termica significa ,che assorbe molta energia nei passaggi di stato,che assorbe poca energia nei passaggi di stato,che riesce ad assorbire tanto calore innalzando di poco la propria temperatura,che riesce ad assorbire tanto calore innalzando di poco la propria temperatura
Il calore specifico è,l'energia necessaria per permettere il passaggio di stato dell'acqua dallo stato liquido a vapore,"la quantità di calore necessaria per innalzare di 1°C, la temperatura dell’unità di massa (1kg)","la quantità di calore necessaria a portare la temperatura di un grammo d'acqua distillata da 14,5 °C a 15,5 °C, alla pressione atmosferica normale","la quantità di calore necessaria per innalzare di 1°C, la temperatura dell’unità di massa (1kg)"
Quale tra le seguenti sostanze ha un valore di calore specifico (J/kgx°C) più elevato?,Acqua,Aria,Alluminio,Acqua
Quale tra le seguenti sostanze ha un valore di calore specifico (J/kgx°C) più basso?,Benzina,Piombo,Petrolio,Piombo
"I metalli, in genere, hanno calori specifici piuttosto bassi. Questo significa che",sono buoni isolanti termici,sono dei buoni conduttori di corrente elettrica,con poca energia è possibile ottenere un considerevole aumento della temperatura,con poca energia è possibile ottenere un considerevole aumento della temperatura
"A quale metodo di conservazione dei gas ci si riferisce quando si parla di ""grado di riempimento""?",gas liquefatti,gas disciolti,gas refrigerati,gas liquefatti
"L'acetilene è un tipo di gas che, in genere, viene conservato",liquefatto,compresso,disciolto,disciolto
"Il GPL (miscela di gas principalmente butano e propano), in genere, viene conservato",liquefatto,compresso,disciolto,liquefatto
"La CO2 (anidride carbonica), in genere, viene conservata",compressa,regrigerata,disciolta,compressa
Il Watt è,è l'unità di misura della forza nel Sistema Internazionale. Per definizione 1 watt è il rapporto tra joule e secondo,è l'unità di misura della potenza nel Sistema Internazionale. Per definizione 1 watt è il rapporto tra joule e secondo,è l'unità di misura della potenza nel Sistema Internazionale. Per definizione 1 watt è il rapporto tra velocità e tempo,è l'unità di misura della potenza nel Sistema Internazionale. Per definizione 1 watt è il rapporto tra joule e secondo
la potenza termica è,la quantità di calore che una sorgente d'ignizione è in grado di assorbire,la quantità di calore che un combustibile è in grado di trasferire,la quantità di calore per unità di tempo che una sorgente d'ignizione è in grado di trasferire,la quantità di calore per unità di tempo che una sorgente d'ignizione è in grado di trasferire
Per conduzione termica si intende ,la trasmissione di calore all'interno di un fluido tramite il trasporto di materia,"il trasferimento di calore da un corpo più caldo a uno più freddo, che si trovano ad una certa distanza","la trasmissione di calore che avviene in un mezzo solido, liquido o aeriforme dalle zone a temperatura maggiore verso quelle con temperatura minore, all'interno di un corpo solo o tra due corpi tra loro in contatto","la trasmissione di calore che avviene in un mezzo solido, liquido o aeriforme dalle zone a temperatura maggiore verso quelle con temperatura minore, all'interno di un corpo solo o tra due corpi tra loro in contatto"
"Nella convezione termica, la propagazione del calore, è associata al trasporto di materia?",si,no,solo nei gas,si
L'irraggiamento o radiazione termica è ,il trasferimento di calore da un corpo ad un altro per contatto,la capacità di un corpo di assorbire radiazioni elettromagnetiche,la radiazione elettromagnetica emessa dalla superficie di un corpo che si trova ad una certa temperatura,la radiazione elettromagnetica emessa dalla superficie di un corpo che si trova ad una certa temperatura
Tutti gli oggetti emettono radiazioni elettromagnetiche?,no,si,dipende,si
"Quante sono le zone che distinguono le aree a rischio esplosione (ATEX) per gas, vapori e nebbie?","3 (zona 0, zona 1, zona 2)","2 (zona 1, zona 2)","3 (zona 20, zona 21, zona 22)","3 (zona 0, zona 1, zona 2)"
Quante sono le zone che distinguono le aree a rischio esplosione (ATEX) per le polveri?,"3 (zona 0, zona 1, zona 2)","2 (zona 10, zona 20)","3 (zona 20, zona 21, zona 22)","3 (zona 20, zona 21, zona 22)"
"L'impianto sprinkler a ""umido"" significa che",le tubazioni dell’impianto sono costantemente riempite con acqua in pressione,le tubazioni vengono irrorate di acqua appena la valvola di allarme entra in funzione,le tubazioni vengono riscaldate per evitare che l'acqua al suo interno geli nella stagione invernale,le tubazioni dell’impianto sono costantemente riempite con acqua in pressione
"L'impianto sprinkler a ""secco"", in genere, viene preferito a quello ""a umido"" ",Quando sussiste il rischio di danneggiare le tubazioni a causa dell'elevata pressione dell'acqua,Quando c'è il rischio che l'acqua all'interno della tubazione solidifichi a causa di eventuali temperature troppo rigide,Se nel sistema di spegnimento non viene prevista una vasca di accumulo,Quando c'è il rischio che l'acqua all'interno della tubazione solidifichi a causa di eventuali temperature troppo rigide
"Cosa sono i sistemi ad acqua nebulizzata ""water mist""?",è un particolare sistema di spegnimento ad acqua refrigerata,è un particolare sistema di spegnimento che sfrutta le elevate quantità di acqua che viene utilizzata,"è un particolare sistema ad acqua ad alto potere di spegnimento, operante a pressioni comprese tra gli 80 e 140 bar, in grado di produrre una nebbia composta da particelle finissime","è un particolare sistema ad acqua ad alto potere di spegnimento, operante a pressioni comprese tra gli 80 e 140 bar, in grado di produrre una nebbia composta da particelle finissime"
